Household Size,Number of people in household aged 0 to 19,Number of people in household aged 20 to 64,Number of people in household aged 65 or over,Total
9 people in household,0,3,6,0
9 people in household,0,2,7,1
9 people in household,0,1,8,3
9 people in household,0,0,9,1
,,,,
10 people in household,10,0,0,18
10 people in household,9,1,0,140
10 people in household,9,0,1,0
10 people in household,8,2,0,1527
10 people in household,8,1,1,11
10 people in household,8,0,2,0
10 people in household,7,3,0,543
10 people in household,7,2,1,91
10 people in household,7,1,2,1
10 people in household,7,0,3,722
10 people in household,6,4,0,0
10 people in household,6,3,1,96
10 people in household,6,2,2,47
10 people in household,6,1,3,0
10 people in household,6,0,4,0
10 people in household,5,5,0,592
10 people in household,5,4,1,162
10 people in household,5,3,2,57
10 people in household,5,2,3,2
10 people in household,5,1,4,0
10 people in household,5,0,5,0
10 people in household,4,6,0,729
10 people in household,4,5,1,211
10 people in household,4,4,2,144
10 people in household,4,3,3,2
10 people in household,4,2,4,1
10 people in household,4,1,5,0
10 people in household,4,0,6,0
10 people in household,3,7,0,518
10 people in household,3,6,1,181
10 people in household,3,5,2,80
10 people in household,3,4,3,5
10 people in household,3,3,4,2
10 people in household,3,2,5,0
10 people in household,3,1,6,0
10 people in household,3,0,7,0
10 people in household,2,8,0,331
10 people in household,2,7,1,109
10 people in household,2,6,2,40
10 people in household,2,5,3,13
10 people in household,2,4,4,2
10 people in household,2,3,5,0
10 people in household,2,2,6,0
10 people in household,2,1,7,0
10 people in household,2,0,8,0
10 people in household,1,9,0,155
10 people in household,1,8,1,42
10 people in household,1,7,2,18
10 people in household,1,6,3,1
10 people in household,1,5,4,0
10 people in household,1,4,5,0
10 people in household,1,3,6,0
10 people in household,1,2,7,0
10 people in household,1,1,8,1
10 people in household,1,0,9,0
10 people in household,0,10,0,219
10 people in household,0,9,1,30
10 people in household,0,8,2,11
10 people in household,0,7,3,1
10 people in household,0,6,4,4
10 people in household,0,5,5,3
10 people in household,0,4,6,2
10 people in household,0,3,7,1
10 people in household,0,2,8,2
10 people in household,0,1,9,3
10 people in household,0,0,10,6
